review,rating,sentiment,sentiment_prob_0,sentiment_prob_1
前台小姑娘服务好得一比吊糟，给我免升房间，还给我送水果吃，人长得也好看。,5,1.0,1.4829527572146617e-05,0.9999852180480957
因为补课所以找了一家酒店，这家酒店服务特别到位，前台小姐姐倩倩非常的棒，很喜欢这里的风景服务等等,5,1.0,1.4707979971717577e-05,0.9999853372573853
我觉得这个酒店很好 前台的小姐姐服务很好 很有耐心   房间安静 干净卫生 停车方便 周边吃饭都很不错  下次来还会选择这家酒店 ,5,1.0,8.457159128738567e-05,0.9999154806137085
酒店停车方便，周边就是商场，前台服务热情,5,1.0,0.00010303105955244973,0.9998970031738281
早餐丰盛味道美，服务热情很周到。房间舒适卫生好，出差旅行好去处。,5,1.0,0.00010716648102970794,0.9998928308486938
内窗房比较闷热这一点是美中不足，其他都很不错。,5,1.0,0.0023994024377316236,0.9976006150245667
非常好，前台接待服务热情,5,1.0,7.044587255222723e-05,0.9999295473098755
服务好，早餐好，位置好，房间很nice,5,1.0,0.0035681244917213917,0.996431827545166
小房经理服务好，房间安静，停车方便,5,1.0,3.430592914810404e-05,0.9999656677246094
很热情，房间也很干净，很赞,5,1.0,0.007042839191854,0.9929571151733398
前台小姐姐服务特别好，周到，温柔，积极，主动。位置很赞，地铁口旁边，优越，方便。设施新，房间很大，宽敞，房间空间大，采光好，明亮，安静舒适，卫生很干净，床舒服，床垫舒适，水压大，出水快，水温好，洗澡舒服，网速快，办公方便。好，良好，很好，非常好，棒，很棒，非常棒，赞，点赞，大大给赞，强力推荐! 客房阿姨亲切，服务好，动作麻利。早餐好，早餐赞，品种多，色泽鲜美，面条有特色，汤料好，口味好，分量足，好吃，非常好吃，美味。洗衣房很好，自助方便，干净卫生，花茶好喝，口味佳，暖心。停车场空间大，便于停车。,5,1.0,1.4265695426729508e-05,0.9999856948852539
我住的那个家有点异味,5,1.0,0.020975302904844284,0.9790247082710266
干净清爽，又先进,5,1.0,0.004108996130526066,0.9958909749984741
给前台打电话，多加一床被子都不行。什么态度呢，不够盖，多送一床都不行么,5,0.0,0.9998397827148438,0.00016023902571760118
服务态度很好，房间干净整洁，免费洗衣服，有种家的味道,5,1.0,0.0001229855406563729,0.9998769760131836
因为我行李比较多，我办好入住以后，前台小哥哥帮我拿到房间了，早餐特别棒，绿豆汤非常好吃，天气热解暑。,5,1.0,4.1186543967342004e-05,0.9999587535858154
前台服务员态度特别好 点赞点赞??,5,1.0,1.2033196071570273e-05,0.9999879598617554
前台接待热情周到，让人宾至如归。,5,1.0,4.604354398907162e-05,0.9999539852142334
停车难加之夜里老有歌手在南门拿着扩音器唱歌??,5,1.0,0.151558056473732,0.8484418988227844
评价系统换了还是？光星程是？同名同姓身身份证号不一样也会显示存？,5,0.0,0.999962568283081,3.7442347093019634e-05
闹中取静！,5,1.0,0.0006575110601261258,0.9993425011634827
早餐很好吃 地理位置优越,5,1.0,0.00013063532242085785,0.9998693466186523
房间很好，位置也很方便以后来济南就住这了。,5,1.0,6.001261863275431e-05,0.999940037727356
翻新的酒店  呵呵,5,0.0,0.9998774528503418,0.0001225049636559561
很喜欢这里，还会继续入住,5,1.0,0.051335521042346954,0.9486644268035889
整体环境好，卫生好,5,0.0,0.9889869689941406,0.011013077571988106
"离地铁站 花卉进！ 前台服务很满意  卫生干净 优雅 很舒适
",5,1.0,0.0003427579649724066,0.9996572732925415
朋友都说很好的酒店，早餐丰富好吃，网络也很好，,5,1.0,1.8676772015169263e-05,0.9999812841415405
很好，非常好，以后还会入住,5,1.0,0.0009379640687257051,0.9990620017051697
酒店位置优越，出门对面就是万达广场，餐饮、购物配套都很齐全。有专门的地下停车场，门口还有滨河绿化带，非常好！,5,1.0,0.00012678804341703653,0.999873161315918
第一次入住海伦路全季，因为离公司比较近所以就住了一晚，第一眼的感觉是非常新，到了前台入住时，前台小姐姐给我倒了一杯茶，因为来的时候路上眼镜支架不小心断了，便问前台有没有胶水想先沾上再去换，作为近视患者没有眼镜太没有安全感了，前台小姐姐不但帮我找了胶水还主动帮我粘好，她说胶水弄到手上不好洗，粘好还帮我眼镜擦的很干净，并给了我一个眼镜布还把胶水给我了，说是以防万一，跟我讲附近哪里哪里有眼镜店可以去修，我觉得这个小姐姐真的很细心，真的是超级超级感动，第一次觉得住酒店可以那么温馨，然后酒店的房间卫生也很干净，有很多智能设备，早餐也很丰盛，是一次非常美好的入住体验，一定要用美好来形容，感谢小姐姐,5,1.0,1.1499454558361322e-05,0.9999885559082031
L大气，高端，美丽，大方，主动，外观漂亮，值得推荐，强烈推荐，防疫工作到位，安全周到，会再次入住，很放心，布局棒，很满意，非常好，赞，点赞，非常赞，给赞，分量足，很棒，非常棒，优越，好，良好，很好，暖心，安静，舒适，放心，给力，棒！物超所值，床舒服，床品舒适，备用的被子，茶好喝，咖啡很香，睡得很好，配套齐全，房间空间大，房间采光好，洗澡舒服，水压大，停车场空间很大，网速快，大厅布局合理，装修有特色，配套齐全，卫生干净，前台漂亮，服务热情，客房阿姨亲切，服务好，早餐品种多，蔬菜水果新鲜，早餐丰盛，口味佳，口味好，好吃，美味，距离高铁站近，交通便利，离高铁站近，出行方便，2.5号线就在附近方便！,5,1.0,1.4865519005979877e-05,0.9999850988388062
