review,rating
前台小姑娘服务好得一比吊糟，给我免升房间，还给我送水果吃，人长得也好看。,5
因为补课所以找了一家酒店，这家酒店服务特别到位，前台小姐姐倩倩非常的棒，很喜欢这里的风景服务等等,5
我觉得这个酒店很好 前台的小姐姐服务很好 很有耐心   房间安静 干净卫生 停车方便 周边吃饭都很不错  下次来还会选择这家酒店 ,5
酒店停车方便，周边就是商场，前台服务热情,5
早餐丰盛味道美，服务热情很周到。房间舒适卫生好，出差旅行好去处。,5
内窗房比较闷热这一点是美中不足，其他都很不错。,5
非常好，前台接待服务热情,5
服务好，早餐好，位置好，房间很nice,5
小房经理服务好，房间安静，停车方便,5
很热情，房间也很干净，很赞,5
前台小姐姐服务特别好，周到，温柔，积极，主动。位置很赞，地铁口旁边，优越，方便。设施新，房间很大，宽敞，房间空间大，采光好，明亮，安静舒适，卫生很干净，床舒服，床垫舒适，水压大，出水快，水温好，洗澡舒服，网速快，办公方便。好，良好，很好，非常好，棒，很棒，非常棒，赞，点赞，大大给赞，强力推荐! 客房阿姨亲切，服务好，动作麻利。早餐好，早餐赞，品种多，色泽鲜美，面条有特色，汤料好，口味好，分量足，好吃，非常好吃，美味。洗衣房很好，自助方便，干净卫生，花茶好喝，口味佳，暖心。停车场空间大，便于停车。,5
我住的那个家有点异味,5
干净清爽，又先进,5
给前台打电话，多加一床被子都不行。什么态度呢，不够盖，多送一床都不行么,5
服务态度很好，房间干净整洁，免费洗衣服，有种家的味道,5
因为我行李比较多，我办好入住以后，前台小哥哥帮我拿到房间了，早餐特别棒，绿豆汤非常好吃，天气热解暑。,5
前台服务员态度特别好 点赞点赞??,5
前台接待热情周到，让人宾至如归。,5
停车难加之夜里老有歌手在南门拿着扩音器唱歌??,5
评价系统换了还是？光星程是？同名同姓身身份证号不一样也会显示存？,5
闹中取静！,5
早餐很好吃 地理位置优越,5
房间很好，位置也很方便以后来济南就住这了。,5
翻新的酒店  呵呵,5
很喜欢这里，还会继续入住,5
整体环境好，卫生好,5
"离地铁站 花卉进！ 前台服务很满意  卫生干净 优雅 很舒适
",5
朋友都说很好的酒店，早餐丰富好吃，网络也很好，,5
很好，非常好，以后还会入住,5
酒店位置优越，出门对面就是万达广场，餐饮、购物配套都很齐全。有专门的地下停车场，门口还有滨河绿化带，非常好！,5
第一次入住海伦路全季，因为离公司比较近所以就住了一晚，第一眼的感觉是非常新，到了前台入住时，前台小姐姐给我倒了一杯茶，因为来的时候路上眼镜支架不小心断了，便问前台有没有胶水想先沾上再去换，作为近视患者没有眼镜太没有安全感了，前台小姐姐不但帮我找了胶水还主动帮我粘好，她说胶水弄到手上不好洗，粘好还帮我眼镜擦的很干净，并给了我一个眼镜布还把胶水给我了，说是以防万一，跟我讲附近哪里哪里有眼镜店可以去修，我觉得这个小姐姐真的很细心，真的是超级超级感动，第一次觉得住酒店可以那么温馨，然后酒店的房间卫生也很干净，有很多智能设备，早餐也很丰盛，是一次非常美好的入住体验，一定要用美好来形容，感谢小姐姐,5
L大气，高端，美丽，大方，主动，外观漂亮，值得推荐，强烈推荐，防疫工作到位，安全周到，会再次入住，很放心，布局棒，很满意，非常好，赞，点赞，非常赞，给赞，分量足，很棒，非常棒，优越，好，良好，很好，暖心，安静，舒适，放心，给力，棒！物超所值，床舒服，床品舒适，备用的被子，茶好喝，咖啡很香，睡得很好，配套齐全，房间空间大，房间采光好，洗澡舒服，水压大，停车场空间很大，网速快，大厅布局合理，装修有特色，配套齐全，卫生干净，前台漂亮，服务热情，客房阿姨亲切，服务好，早餐品种多，蔬菜水果新鲜，早餐丰盛，口味佳，口味好，好吃，美味，距离高铁站近，交通便利，离高铁站近，出行方便，2.5号线就在附近方便！,5
服务挺好，但房间隔音有点差……,5
环境好 酒店位置也很好 服务更是好 点赞！,5
离学校近，酒店舒适，大堂好，地理位置好，菜品好，地铁近，早餐很丰富，菜品好，厨师亲切，包子好，面条好吃，品类挺丰富的，齐全:客房设施好 装饰不错，灯光温馨，上档次，地毯好看，设施完善，干净，酒店服务挺好，专业，态度好，非常棒的，值得推荐，棒棒的，公交车很近，打车很方便，很舒适，大厅很有心思，客房打扫速度，大姐打扫干净，无异味，有暖心的矿泉水，房间宽敞，卫生间很大，洗澡水舒服，电视大，电视频道多，环境好，地毯好看，服务员热情，很满意，推荐，点赞!这么好的酒店，推荐给朋友，服务棒!致敬酒，非常完美，有家的感觉，特别热情，非常周到，干净整洁，有问必答，无线网好，风景好，视野也好，特别贴心，会再次光临,5
首次入住这家全季，很大的房间，卫生很棒，早餐种类很多，有南京的桂花糖芋苗，房间里面有小爱同学智能化服务，前台入住都会给一瓶矿泉水，还有可爱的机器人帮忙送餐，阿姨们都会微笑对我们打招呼，客厅还有小商品卖,5
服务好，旁边???步行街,5
"房间空间大,安静舒适,卫生很干净,床舒服,水压大,洗澡舒服,网速快,办公方便。卫生整洁,干净,放心,给力。位置好,优越,地铁附近,交通便利,出行方便。酒店外观漂亮,高端,大气,上档次,大厅装修有特色,布局合理。红茶好喝,暖心。前台漂亮,大方,美丽,服务热情,主动。客房阿姨亲切,服务好。早餐品种多,好吃,口味好,分量足,好吃,美味。防疫工作到位安全周到。好,良好,很好,非常好,棒,很棒,非常棒,赞,点赞,大大给赞,强力推荐",5
前台小哥服务特别好！,5
非常好 房间很大 很宽厂,5
很好，前台服务热情。客房干净卫生。,5
服务态度很好，已经住过好多次了，离西湖很近，早餐蛋饼好吃，酒店性价比高值得推荐,5
前台服务热情，性价比高，环境还不错，房间挺干净，床比较舒适。大堂明亮，前台服务周到，大堂咖啡也是免费的，味道还不错。电梯刷卡，安全有保障。,5
装修比较新，整体感觉良好,5
客房刘继红大姐蛮好的，服务比较热情，帮我把洗的衣物都晾晒好了，感谢,5
"来哈尔滨是我住过最好的酒店，新酒店，24小时热水，浴室大，备品也齐全，停车方便，车位充足，房间设施新，55寸电视看起来很好，客房干净整洁，没有异味，也很干净，房间大，配备了红茶，温度适宜，有地热，很温暖，安静舒适，价格实惠，物超所值，前台服务热情，帮我订房，办理入住快，经理都超级好，有问必答，特别细心，有礼貌人员业务专业，服务一流，适合出差，值得一去，周围环境优美，幽静，网速快，早餐种美丰盘，早餐好吃，住着安心，又方便，很有家的感觉，机场大巴也很方便，，优先考虑，保安也热情，值得推荐，大大的赞，都棒棒哒，一还会光顾，好，好，好，好,好，棒，好，好",5
前台小姐姐服务很好，江经理人很好看我带小孩帮我升级了房型！早餐很好吃，品种很多！房间很大，卫生很干净！还会继续选择,5
服务态度非常满意，早餐丰富，房间干净,5
服务非常好，房间很大，房间很干净，早餐很好，白粥很香甜，酒店位置很好，很好找，出行很方便。,5
优点是前台帅哥服务态度特别好。美中不足的是牙膏牙刷没送过去,5
"前台帅哥很热情办理入住，房间窗帘有点问题也及时处理好了，整体都很好，去哪都方便，早餐也特别棒，各种各样的饭菜吃的饱饱的！
",5
房间地板和地砖黏黏的，粘鞋底（并非地板蜡）。希望能够清理干净。,5
服务态度很好，卫生也干净，值得入住,5
环境不错，一直住这边，位置最好，吃的，玩的,5
